g,q,v
0.000000000000000000e+00,1.764404318848072917e-01,2.178349805038859444e-02
0.000000000000000000e+00,9.906845816654163972e-01,8.974025547274846470e-01
0.000000000000000000e+00,4.657438793829548729e+00,8.860819166771849442e-02
0.000000000000000000e+00,4.672731029615592391e+00,8.600979998075207744e-01
0.000000000000000000e+00,8.055733396811326497e-01,3.549709275821478771e-01
0.000000000000000000e+00,4.825420679849395711e+00,6.880219718453158828e-01
0.000000000000000000e+00,2.249778875334111028e+00,4.277207610542851368e-01
0.000000000000000000e+00,3.373378654507479091e+00,7.367470255807604396e-01
0.000000000000000000e+00,3.841544926527628689e+00,8.305247535939468406e-01
0.000000000000000000e+00,3.204107491599916813e-01,9.100090080538614234e-02
1.000000000000000000e+00,4.576318469025421720e+00,2.739915156947991814e-02
1.000000000000000000e+00,4.196783223078590197e+00,8.070320359678047062e-01
1.000000000000000000e+00,5.170585798547827627e-01,5.875087452925363829e-01
1.000000000000000000e+00,2.321434538654820301e+00,3.156386695294279843e-01
1.000000000000000000e+00,3.593345221957704894e+00,1.774877419049718519e-01
1.000000000000000000e+00,4.888418245632044190e+00,7.080552764117213904e-01
1.000000000000000000e+00,1.885676683366423578e+00,5.419719130325493239e-01
1.000000000000000000e+00,5.651627392840613551e-01,1.581813173475672407e-01
1.000000000000000000e+00,1.682925344647212107e+00,6.553640215377102285e-01
1.000000000000000000e+00,7.959105100441410396e-01,1.995628123766396422e-01
2.000000000000000000e+00,4.497285018691996150e+00,9.229312265960093464e-01
2.000000000000000000e+00,3.889452398519798848e+00,2.125464453303961276e-01
2.000000000000000000e+00,2.437043031591008546e+00,4.469407627062846888e-01
2.000000000000000000e+00,4.059985957351280872e-01,9.239623667885238367e-01
2.000000000000000000e+00,1.378665531280242718e+00,4.195416950580975746e-01
2.000000000000000000e+00,3.614150585393887560e+00,9.923549047131214884e-01
2.000000000000000000e+00,4.177986786474314762e+00,7.464265565830641158e-02
2.000000000000000000e+00,3.476615493346532748e+00,3.553132867555764962e-01
2.000000000000000000e+00,2.976666119222004969e+00,2.854368011758346979e-01
2.000000000000000000e+00,3.450168094511061767e+00,3.719594683907192501e-01
3.000000000000000000e+00,4.311408603124506023e+00,3.728952423485327738e-01
3.000000000000000000e+00,4.254678380141326599e+00,8.408029514785608782e-01
3.000000000000000000e+00,8.919728411554750380e-01,1.696899696964810911e-01
3.000000000000000000e+00,2.617492306556907788e+00,8.760255682690842871e-02
3.000000000000000000e+00,4.266784796810313418e-01,7.958416925516845764e-01
3.000000000000000000e+00,4.033490785369274079e+00,8.267805538788700614e-01
3.000000000000000000e+00,3.205625092371239937e+00,2.559354582951981483e-01
3.000000000000000000e+00,2.967117099338958841e+00,6.593023845740397793e-01
3.000000000000000000e+00,3.340260722487207179e+00,6.337963557777925860e-01
3.000000000000000000e+00,7.939099813341538026e-01,6.673440036166998768e-01
4.000000000000000000e+00,3.778683894251843256e+00,9.457012920007696888e-01
4.000000000000000000e+00,4.178076660296799361e+00,4.863821052021697344e-01
4.000000000000000000e+00,3.004671827634559200e+00,5.971625421997925898e-01
4.000000000000000000e+00,1.133525292064931467e+00,8.626443447046245883e-01
4.000000000000000000e+00,2.459694845827518073e+00,8.814647049739113838e-01
4.000000000000000000e+00,1.681517630812083830e+00,7.912817883240177430e-01
4.000000000000000000e+00,2.316498899830730984e+00,7.642732570476191700e-01
4.000000000000000000e+00,2.650744059925043139e+00,5.686284680364688260e-01
4.000000000000000000e+00,4.210348242200169011e+00,8.964173775279068446e-01
4.000000000000000000e+00,9.805488224342312487e-01,4.008464556233332088e-01
5.000000000000000000e+00,4.027509005159374489e+00,8.982476973672612885e-01
5.000000000000000000e+00,4.434860208584127328e+00,1.054431024038010589e-01
5.000000000000000000e+00,1.837127890857274792e+00,8.866484495390791754e-02
5.000000000000000000e+00,6.708079307945091774e-01,2.947861820279483736e-01
5.000000000000000000e+00,8.287476377723751453e-01,1.820423094986011181e-01
5.000000000000000000e+00,1.831849518880040328e+00,3.312906497278651496e-01
5.000000000000000000e+00,9.321430378243372727e-01,4.294303957824783247e-01
5.000000000000000000e+00,3.062468810744445324e-01,5.832597531947325553e-01
5.000000000000000000e+00,1.702418843754363031e+00,5.906966904124035800e-01
5.000000000000000000e+00,3.379992512808394078e+00,6.352765947000135194e-01
6.000000000000000000e+00,1.070747319952916499e+00,6.605405311356637998e-02
6.000000000000000000e+00,4.149489827782943507e+00,1.839380756628109514e-01
6.000000000000000000e+00,2.255931816959631409e+00,1.187148050236183083e-01
6.000000000000000000e+00,3.622176459212162580e+00,3.717975455553805819e-01
6.000000000000000000e+00,1.232082903236875193e+00,7.576717416837720487e-01
6.000000000000000000e+00,4.473291900703798341e+00,5.456489153895711652e-01
6.000000000000000000e+00,1.902764833640660402e+00,8.448942836149681002e-01
6.000000000000000000e+00,4.141512397466455830e+00,5.136473577348406039e-01
6.000000000000000000e+00,4.287702685175690753e+00,9.811776231669200321e-01
6.000000000000000000e+00,1.058402653097365143e+00,6.128192004323251840e-01
7.000000000000000000e+00,2.354417137383744141e+00,9.452485774154190112e-01
7.000000000000000000e+00,3.395474521526695710e+00,3.664274217123139055e-01
7.000000000000000000e+00,1.159840476312728352e+00,6.107777000239387188e-01
7.000000000000000000e+00,4.335651462272471335e+00,2.594478888023467045e-01
